"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"976";"DEP";"_T";"_T";"POP";"PROV";2023;310199
"53";"DEP";"_T";"_T";"POP";"PROV";2023;304630
"51";"DEP";"_T";"_T";"POP";"PROV";2023;562387
"973";"DEP";"_T";"_T";"POP";"PROV";2023;290110
"14";"DEP";"_T";"_T";"POP";"PROV";2023;706548
"12";"DEP";"_T";"_T";"POP";"PROV";2023;279241
"63";"DEP";"_T";"_T";"POP";"PROV";2023;664263
"38";"DEP";"_T";"_T";"POP";"PROV";2023;1297087
"10";"DEP";"_T";"_T";"POP";"PROV";2023;311170
"15";"DEP";"_T";"_T";"POP";"PROV";2023;144177
"84";"DEP";"_T";"_T";"POP";"PROV";2023;570432
"76";"DEP";"_T";"_T";"POP";"PROV";2023;1260258
"93";"DEP";"_T";"_T";"POP";"PROV";2023;1692115
"55";"DEP";"_T";"_T";"POP";"PROV";2023;179439
"32";"DEP";"_T";"_T";"POP";"PROV";2023;192822
"04";"DEP";"_T";"_T";"POP";"PROV";2023;168005
"75";"DEP";"_T";"_T";"POP";"PROV";2023;2092813
"90";"DEP";"_T";"_T";"POP";"PROV";2023;139526
"91";"DEP";"_T";"_T";"POP";"PROV";2023;1331182
"48";"DEP";"_T";"_T";"POP";"PROV";2023;76471
"29";"DEP";"_T";"_T";"POP";"PROV";2023;930710
"35";"DEP";"_T";"_T";"POP";"PROV";2023;1117647
"67";"DEP";"_T";"_T";"POP";"PROV";2023;1160728
"80";"DEP";"_T";"_T";"POP";"PROV";2023;563543
"65";"DEP";"_T";"_T";"POP";"PROV";2023;231638
"17";"DEP";"_T";"_T";"POP";"PROV";2023;672443
"42";"DEP";"_T";"_T";"POP";"PROV";2023;773693
"971";"DEP";"_T";"_T";"POP";"PROV";2023;382733
"11";"DEP";"_T";"_T";"POP";"PROV";2023;378427
"61";"DEP";"_T";"_T";"POP";"PROV";2023;274742
"31";"DEP";"_T";"_T";"POP";"PROV";2023;1473299
"2B";"DEP";"_T";"_T";"POP";"PROV";2023;185989
"54";"DEP";"_T";"_T";"POP";"PROV";2023;731744
"974";"DEP";"_T";"_T";"POP";"PROV";2023;886453
"59";"DEP";"_T";"_T";"POP";"PROV";2023;2616339
"03";"DEP";"_T";"_T";"POP";"PROV";2023;333922
"2A";"DEP";"_T";"_T";"POP";"PROV";2023;168277
"74";"DEP";"_T";"_T";"POP";"PROV";2023;856707
"08";"DEP";"_T";"_T";"POP";"PROV";2023;265865
