codeInsee;codePostal;longitude;latitude;nomCommune
1105;1390;45,92246745;4,886337869;CIVRIEUX
1106;1250;46,20038482;5,450825267;CIZE
1107;1230;45,90214662;5,432726955;CLEYZIEU
1108;1270;46,38666379;5,330822701;COLIGNY
1109;1550;46,14192279;5,900402567;COLLONGES
1110;1300;45,7361469;5,62670101;COLOMIEU
1111;1230;45,88348108;5,47541329;CONAND
1112;1430;46,10583116;5,555682068;CONDAMINE
1113;1400;46,15384698;5,084371717;CONDEISSIAT
1114;1200;46,15437002;5,833193953;CONFORT
1115;1310;46,27030418;5,057752179;CONFRANCON
1116;1300;45,80094031;5,620877682;CONTREVOZ
1117;1300;45,72531022;5,60442351;CONZIEU
1118;1420;45,96594732;5,789619704;CORBONOD
1119;1110;46,03997402;5,573376434;CORCELLES
1121;1110;46,03368856;5,49635755;CORLIER
1122;1110;45,94427728;5,608608285;CORMARANCHE-EN-BUGEY
1123;1290;46,24035302;4,827656959;CORMORANCHE-SUR-SAONE
1124;1560;46,43366329;5,221812758;CORMOZ
1125;1250;46,25051072;5,471524679;CORVEISSIAT
1127;1370;46,32678645;5,355582418;COURMANGOUX
1128;1560;46,4570082;5,111285467;COURTES
1129;1320;45,96637931;5,194903909;CRANS
1130;1340;46,31308319;5,177967072;CRAS-SUR-REYSSOUZE
1133;1350;45,78264349;5,765462566;CRESSIN-ROCHEFORT
1134;1290;46,28307234;4,877479712;CROTTET
1135;1170;46,29156597;5,995104171;CROZET
1136;1290;46,22205887;4,875219351;CRUZILLES-LES-MEPILLAT
1138;1350;45,85599668;5,783983089;CULOZ
1139;1560;46,48854569;5,163443368;CURCIAT-DONGALON
1140;1310;46,27315038;5,102089627;CURTAFOND
1141;1300;45,82000028;5,67655549;CUZIEU
1142;1120;45,85316169;5,072891668;DAGNEUX
1143;1220;46,37563335;6,115864761;DIVONNE-LES-BAINS
1144;1380;46,33627762;4,99863894;DOMMARTIN
1145;1240;46,06678837;5,216651997;DOMPIERRE-SUR-VEYLE
1146;1400;46,14154066;4,901417147;DOMPIERRE-SUR-CHALARONNE
1147;1270;46,42440664;5,293134797;DOMSURE
1148;1590;46,31332212;5,641465841;DORTAN
1149;1500;45,98429739;5,371069017;DOUVRES
1150;1250;46,21966031;5,367999949;DROM
1151;1160;46,06757954;5,293616664;DRUILLAT
1152;1130;46,22713641;5,733304484;ECHALLON
1153;1170;46,31608452;6,01926188;ECHENEVEX
1154;1340;46,33808918;5,192864146;ETREZ
1155;1230;45,96514754;5,502835999;EVOSGES
1156;1800;45,91049421;5,124925856;FARAMANS
1157;1480;46,02099797;4,76200809;FAREINS
1158;1550;46,16623046;5,900194772;FARGES
1159;1570;46,33658337;4,88507051;FEILLENS
1160;1210;46,25197892;6,108264038;FERNEY-VOLTAIRE
